Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Father ID,Father ID Certainty,Father Notes,Haplotype,Haplotype Certainty,Haplotype Kin ID Based On,Haplotype Kin DNA Sample Based On,Haplotype Researcher,Haplotype Notes,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
CVO,CALVADOS,False,FEMALE,HIGH,SVD,,,,,,,,,,WEEK ESTIMATE,2010-02-01,2010-01-01,2010-03-01,,,JM,,,,,,,,,,,MONTH ESTIMATE,2013-03-27,,,MIDPOINT,JM,,YES,,,estimated 3 months old at first sight in May 2010.
CYA,CEEYA,False,MALE,HIGH,BAY,POI,LOW,Based on information from halfsiblings with known mothers,A,,,,,,MONTH ESTIMATE,2001-11-01,,,INFANT FIRST SIGHT,,LAB,,"25-APR-02-LAB: NO FETAL MARKS, DF ERECT, EYES OPEN, NORMAL SURFACINGS, MOST SURFACINGS SYNCH WITH MOM, MOSTLY ECHELON WITH MOM, BP 1-5 MINUTES, MIN AND MAX DISTANCE - ALWAYS BP, NO TOURING",,,,,,,,,MONTH ESTIMATE,2005-01-28,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2007,
CYC,CYCLONE,False,,,SKW,,,,,,,,,,MONTH ESTIMATE,1995-11-01,,,SPRING SUMMER YOY,,JM,,NO SIZE INFORMATION,YEAR ESTIMATE,1998-07-27,SIGHTING RECORD POOR,SIBLING BIRTH,,JM,,BirthdateUncertainnot sure if weaned or dead,MONTH ESTIMATE,1998-07-27,SIBLING BIRTH,REDUCED MC ASSOCIATION,MIDPOINT,JM,,NO,"MIDPT, BUT ALSO BIRTH OF HURRICANE, SO PROBABLY WEANED, IF SURVIVED BY JULY 98",1997,
CYN,CYAN,False,UNKNOWN,,IND,,,,H,,,,,,YEAR ESTIMATE,2007-11-01,2007-11-01,2008-11-01,,,JM,,,,,STOPPED SIGHTING POST WEANING,,,,,Fin not very distinctive.,MONTH ESTIMATE,2011-02-26,,,MIDPOINT,SAS,,NO,,,RCC thought CYN looked 2 yrs old at first sight in Aug 2010. Gap in sightings so need to check records.
CYP,CYPRESS,True,FEMALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1994-11-01,,,ASSIGNED 10 YRS,,SAS,,,,,,,,,,,,,,,,,,,,,
CYR,CYRANO,False,FEMALE,HIGH,,,,,,,,,,,MONTH ESTIMATE,1989-11-01,1988-11-01,1989-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,JJW thought was juvie in 2003 and she had no lat specks in 2006 so we think she is young and had her first calf PNC at age 12.,,,,,,,,,,,,,,,,,,2007,
CYS,CRYSTAL,False,FEMALE,HIGH,CCO,,,,,,,,,,MONTH ESTIMATE,2005-01-15,2005-01-01,2005-02-01,,,RCC,,,,,,,,,,,YEAR ESTIMATE,2009-05-01,,,DEFAULT DATE,SAS,,NO,"CYS w/ CCO 9Nov06, bp not noted. CYS not sighted again until 2010, CCO was sighted in 2009 w/o CYS.",,RCC estimated less than 6 mos at first sight.
CYU,CYRUS,False,UNKNOWN,,CYR,,,,,,,,,,WEEK ESTIMATE,2016-12-01,2016-11-15,2016-12-15,INFANT FIRST SIGHT,,EK,,faint fetal lines and trailing edge slightly wavy. in echelon and bp from photos.,WEEK ESTIMATE,2017-04-27,DEAD PREWEANING,,OTHER,JM,,Mother had shark bite injuries that were about 3 weeks old.,,,,,,,,,,,
CZA,CZAR,False,MALE,HIGH,,,,,H,,,,,,,1988-11-01,,,SSSS,,,,,,,,,,,,,,,,,,,,,,2007,
DAB,DABBLE,False,,,DID,,,haplotype assigned based on haplotype of mother,H,,,,,,WEEK ESTIMATE,2002-11-02,,,INFANT FIRST SIGHT,,CF,,"CALF HAS CHUBBY FACE BUT SUNKEN BEHIND HEAD, VERY DARK IN COLOR, DF LISTS HARD TO LEFT, SOME SURFACINGS ALONE WITH CIRCLING AT SURFACE, NEW CALF FORM COMPLETED; 6 DEC 02: DID CALF=LIGHT IN COLOR, DORSAL FIN FLOPS LEFT, MAY BE TEAR (WHITE) ON RIGHT SIDE OF DORSAL FIN, SURFACES OFTEN WITHOUT MOM, SWIMS AT MOM'S HEAD, ROLLS/LISTS WHEN SURFACING, DOESN'T HAVE GOOD CONTROL, MAY HAVE FLOPPY FLUKES, DISTANCE 0-1 FROM MOM.  HARVEY SAW ~ NOV 20",MONTH ESTIMATE,2003-01-27,,,MIDPOINT,JM,,AS CF saw dabble in very bad shape in Dec. See notes.,,,,,,,,DIED PREWEANING,,2003,
DAF,DAFFY,False,,,,,,,,,,,,,YEAR ESTIMATE,1977-11-01,1957-11-01,1977-11-01,91CAT,,JM,,JM recalls DAF was adult in late 1980s. Might have been in an alliance.,YEAR ESTIMATE,1993-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,JM,,DAF seen in 1989 and no other records.,,,,,,,,,,,
DAG,DAGWOOD,False,MALE,HIGH,,,,,A,,,,,,,1978-11-01,,,SSSS,91CAT,,,,,,,,,,,,,,,,,,,,,2004,
DAH,DAHL,False,,,LEN,,,,A,HIGH,LEN,,,,WEEK ESTIMATE,2020-10-30,2020-10-15,2020-11-05,INFANT FIRST SIGHT,,JM,VF,"calf looks very young, Lentil last seen 18Sep20 by CCC, first calf sight 15Nov20 by DIC",WEEK ESTIMATE,2020-11-22,DEAD PREWEANING,,MIDPOINT,VF,,DIC saw Lentil at the beach with males and no calf on 30Nov20,,,,,,,,,,,
DAI,DAISY,False,MALE,HIGH,TUL,,,,C,,,,,,MONTH ESTIMATE,2008-09-01,,,INFANT FIRST SIGHT,,JM,,,,,,,,,,,MONTH ESTIMATE,2012-03-23,,,MIDPOINT,SAS,,YES,,,
DAL,DALI,False,MALE,HIGH,DOZ,,,,E,,,,,,YEAR ESTIMATE,1994-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,NO SIZE/AGE EST.-CHECK PHOTOS?/ JM FOLLOWED IN 98-ESTIMATED MORE THAN 2.5 YRS,,,,,,,,,YEAR ESTIMATE,1998-12-10,,,DEFAULT DATE,JM,,NO,min weaning age; DAL could have been born earlier and weaned later; males interested in DOZ in 1998,2007,
DAN,DANTE,False,MALE,HIGH,,,,,A,,,,,,,1986-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,2006,
DAS,DASANI,False,UNKNOWN,,BRT,,,,,,,,,,YEAR ESTIMATE,2008-11-01,2006-11-01,2009-11-01,GAP,,JM,,not a yoy... Brita had Evian soon after first sighting of DAS so the calf must have been old and weaned right after (before Evians birth),,,STOPPED SIGHTING POST WEANING,,,,,Could have changed fin.,MONTH ESTIMATE,2012-11-01,SIBLING BIRTH,,OTHER,JM,,YES,,,
DAZ,DAZZLE,False,,,,,,,,,,,,,,1981-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,,
DBH,DOUBLEHOOK,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1972-11-01,,,SSSS,91CAT,,,Photos not good enough to improve on age estimate.,YEAR ESTIMATE,1988-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Few data on DBH.,,,,,,,,,,,
DBO,DABO,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,,,,,,,,,,,,,,,,,,,,,,,,,2002,
DBT,DOUBT,False,MALE,HIGH,SHO,,,haplotype assigned based on haplotype of mother,E,,,,,,MONTH ESTIMATE,2005-11-01,,,SPRING SUMMER YOY,,JM,,YOY,,,,,,,,,MONTH ESTIMATE,2009-05-01,,,DEFAULT DATE,JM,,YES,sho seen 4-nov-09 with new calf whr (dbt not there),2007,
DCH,DRENCH,False,FEMALE,HIGH,SOG,,,haplotype assigned based on haplotype of mother,A,,,,,,WEEK ESTIMATE,2011-02-15,,,,,JM,,,,,,,,,,,DAY ESTIMATE,2014-10-15,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,SOG DCH not seen earlier in 2014,,CCC sighted 18-Mar-11 and said that calf was swimming near the eye or dorsal fin; fetal lines visible in photos
DCK,DECKIE,False,UNKNOWN,,DOD,,,maternal relative,H,,,,,,DAY ESTIMATE,2017-11-24,2017-11-18,2017-11-27,INFANT FIRST SIGHT,,CBK,,fetal lines and whiskers and smaller than flex. did some CUPs. Mostly echelon. BP less than 30 sec.,,,,,,,,,MONTH ESTIMATE,2021-05-01,SIBLING BIRTH,,DEFAULT DATE,VF,,YES,,,
DCR,DANCER,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1981-11-01,1976-11-01,1981-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,DCR could have been older based on DF speckles in 2012.,YEAR ESTIMATE,2015-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,She has some 2 year gaps in sightings and is over 30.,,,,,,,,,,2006,
DDO,DODO,False,,,DEM,,,,H,,,,,,WEEK ESTIMATE,2020-11-15,2020-10-15,2020-12-01,INFANT FIRST SIGHT,,JM,VF,"Demi was last seen March 21st, 2020 and then first seen with Dodo on January 14th 2021, often in echelon. Dodo was estimated by Simonetta to be about a month younger than Tate (JM agrees) and Molly last saw Demi on Dec 4th, 2019 and never in consortship.",MONTH ESTIMATE,2021-06-19,DEAD PREWEANING,,MIDPOINT,VF,,"check with DIC for more precise dates; DIC told CCC Dodo was gone 7Nov21, but no exact dates",,,,,,,,,,,
DEB,DEBE,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1971-11-01,1969-11-01,1975-11-01,SSSS,91CAT,EK,JM,Considered adult in 91cat. Speckles match approx.,YEAR ESTIMATE,2016-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,A 2 year gap in his sightings.,,,,,,,,,,2004,
DEE,DEET,False,MALE,HIGH,,,,,E,,,,,,,1986-11-01,,,SSSS,,,,,,,,,,,,,,,,,,,,,,2007,
DEI,DEITER,False,,,,,,,,,,,,,YEAR ESTIMATE,1988-11-01,1981-11-01,1988-11-01,ASSIGNED 10 YRS,SSSS,EK,JM,Thought to be in an alliance but seen with 2 different alliances and only seen twice. Possibly a female. No DF speckles in 2001 so less than 20.,YEAR ESTIMATE,2005-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Deiter is a mystery as might be female and in our unknowns. Only seen twice and seems to be HB or Peron.,,,,,,,,,,2006,
DEM,DEMI,False,FEMALE,HIGH,HAL,,,,H,,,,,,MONTH ESTIMATE,1986-11-01,1986-09-01,1987-02-01,SPRING SUMMER YOY,,JM,,SHOULD FIRST APPEAR IN 87 IF ANYONE CHECKS,,,,,,,,,DAY ESTIMATE,1992-03-10,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,ESTIMATED WEANED SOMETIME IN 1991,2007,
DEN,DENT,False,FEMALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1971-11-01,1963-11-01,1971-11-01,SSSS,,EK,JM,,MONTH ESTIMATE,1998-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,seen many times each year.,,,,,,,,,,1997,
DER,DERBY,False,MALE,HIGH,AMP,,,,A,,,,,,YEAR ESTIMATE,1998-11-01,1997-11-01,1998-11-01,,,JM,,MK sighted in 1999 so that should be first sighting date.,,,,,,,,,YEAR ESTIMATE,2002-05-01,SIBLING BIRTH,,OTHER,JM,,NO,,,based on photos and PRS (next calf) birth.
DET,DETRITUS,False,,,,,,,,,,,,,YEAR ESTIMATE,1984-11-01,,,ASSIGNED 10 YRS,,EK,,No pictures but RCC has some. Seen emaciated in 1994. No other information.,,,,,,,,,,,,,,,,,,,
DEU,DEUCE,False,MALE,HIGH,DUR,RAS,HIGH,paternity based on snps,,,,,,,DAY ESTIMATE,2011-11-21,,2011-11-22,,,EK,,,,,,,,,,,MONTH ESTIMATE,2015-07-23,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,,looked to be 1-2 days old
DEW,DEWDROP,False,UNKNOWN,,SOG,,,,A,,,,,,DAY ESTIMATE,2015-11-07,2015-11-03,2015-11-09,INFANT FIRST SIGHT,,JM,,Photos from 20Nov15 looks  about 10-14 days old. was lumpy and corking on first sighting date by Kate on Shotover.,DAY ESTIMATE,2016-04-14,DEAD PREWEANING,,MIDPOINT,EK,,,,,,,,,,,,,
DGR,DAGGER,False,MALE,HIGH,SCY,,,,,,,,,,YEAR ESTIMATE,2007-11-01,,,,,SAS,,no age info,,,,,,,,,YEAR ESTIMATE,2011-05-01,GAP,,DEFAULT DATE,JM,,NO,Dagger seen postweaning but birthday and weaning date uncertain.,,
DIA,DIAMOND,False,MALE,HIGH,RHO,,,haplotype assigned based on haplotype of mother,A,,,,,,WEEK ESTIMATE,2012-11-01,,,,,JM,,,WEEK ESTIMATE,2015-11-07,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,"no fetal lines, by side of RHO when two were alone, thought to be a month old; JM assigned bday based on photos"
DIC,DICE,False,MALE,HIGH,SLI,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,1996-10-18,,,INFANT FIRST SIGHT,,MRH,,"CORKUP, NEWBORN, FIN NOT FULLY ERECT FOLDS ETC.",,,STOPPED SIGHTING POST WEANING,UNCERTAIN SURVIVAL STATUS PREWEANING,,,,Fin could have changed.,MONTH ESTIMATE,1999-09-15,SIBLING BIRTH,,,JM,,YES,BASED ON BIRTH OF SLIVER,1999,
DID,DIDDLE,False,FEMALE,HIGH,,,,,H,,,,,,YEAR ESTIMATE,1972-11-01,1969-11-01,1972-11-01,SSSS,91CAT,JM,,RAS saw her frequently at beginning of study,MONTH ESTIMATE,2007-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,JM,,,,,,,,,,,,2004,
DIG,DIGIT,False,,,FIN,,,,,,,,,,MONTH ESTIMATE,2000-11-01,,,GAP,,CF,,"10 NOV 02-CF: FIN WITH CALF NOT FOUND IN MATRILINES, NAMED DIGIT/DIG, DIG IS APPROXIMATELY SAME SIZE AS DOD, ESTIMATE BIRTH YEAR AS 2000",YEAR ESTIMATE,2012-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 23-Jul-09,MONTH ESTIMATE,2004-05-14,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,"BY MIDPOINT; STILL TOGETHER LATE 2003, BUT FIN WITH MALES TOO",2004,
DIL,DILLINGER,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1992-11-01,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,
DIM,DIMAGGIO,False,UNKNOWN,,MNM,,,,,,,,,,YEAR ESTIMATE,1999-11-01,1997-11-01,1999-11-01,,,JM,,,,,STOPPED SIGHTING POST WEANING,,,,,,YEAR ESTIMATE,2003-03-11,,,MIDPOINT,JM,,NO,birthdate uncertain,,JM thought at least one year old at first sighting
DIN,DING,False,MALE,HIGH,DEN,,,,E,,PAS,,,,MONTH ESTIMATE,1987-11-01,,,SPRING SUMMER YOY,,JM,,"DON'T HAVE RECORDS ON WHETHER DING BORN 86-87 OR 87-88, BUT OLD DATA SUGGEST BORN LATE 1987",MONTH ESTIMATE,1995-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,EK,Seen often and then not. Likely died late 1994.,DAY ESTIMATE,1993-07-03,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,"BY MIDPT WITH POSSIBLE NEXT YEAR BIRTH COULD BE A 62 MONTH WEANING AGE, GONNA TAKE THE EARLIER DATE FOR CONSERVATIVE SAKE",1994,
DIP,DIPPER,False,UNKNOWN,,GLX,,,,,,,,,,MONTH ESTIMATE,2012-05-02,2011-11-01,2012-11-01,MOTHER FIRST SIGHT WITH CALF,,CBK,,first sighted 13-Jul-2014 est 1.5-2.5yrs (JM),,,,,,,,,,,,,,,,,,,
DIT,DITS,False,,,KIB,,,,,,,,,,YEAR ESTIMATE,1986-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,JM CAN'T TELL AGE FROM 91 CATALOGUE (88 PHOTO),YEAR ESTIMATE,1988-05-01,SIGHTING RECORD POOR,MOTHER CALF NOT SIGHTED SINCE,,JM,,,,,,,,,,NO,"NOT SIGHTED IN CURRENT SURVEYS, NO WEANING INFO",1991,
DIV,DIVINE,False,UNKNOWN,,BSS,,,,A,,,,,,DAY ESTIMATE,2017-01-31,2017-01-31,2017-02-01,INFANT FIRST SIGHT,,CCC,,Dorsal fin flopped over at first sight.,WEEK ESTIMATE,2017-04-14,DEAD PREWEANING,,MIDPOINT,EK,JM,BSS with males 12May17.,,,,,,,,,,,
DIZ,DIZI,False,UNKNOWN,,PIC,,,,E,,,,,,DAY ESTIMATE,2017-01-08,2017-01-08,,INFANT FIRST SIGHT,,DIC,,fin flopped over and hours old,DAY ESTIMATE,2017-03-16,DEAD PREWEANING,,MIDPOINT,JM,,Sighted daily and not seen for 2 days.,,,,,,,,,,,
DJY,DJAY,False,FEMALE,HIGH,RAP,SBB,LOW,"sequenced, paternity snps",A,,,,,,YEAR ESTIMATE,2008-11-01,2006-11-01,2008-11-01,,,JM,,looks 2 years old,,,,,,,,,YEAR ESTIMATE,2012-08-24,REDUCED MC ASSOCIATION,GAP,MIDPOINT,JM,,NO,DJY could have weaned early in 2012 or late 2013.,,7-10 months old
DKE,DUKE,False,UNKNOWN,,DUC,,,,E,,PAS,,,,MONTH ESTIMATE,2009-12-15,2009-11-01,2010-01-15,,,JM,,,MONTH ESTIMATE,2010-07-26,DEAD PREWEANING,,MIDPOINT,SAS,,DKE in bp with DUC 11-Apr-10. DUC has been sighted several times since but no sign of DKE.,,,,,,,,DIED PREWEANING,,,"estimated to be 4-5 months old at first sight in April 2010. looks TUF size, no fetal lines, no echelon swimming, looks healthy."
DKY,DUCKY,False,,,PTE,,,,,,,,,,MONTH ESTIMATE,2016-11-01,2016-11-01,2017-11-01,INFANT FIRST SIGHT,,JM,MHM,"mother last sighted 19Jun16, looks large on separation with WZY and ODY in 30Oct19",,,,,,,,,,,,,,,,,,,
DLG,DELUGE,False,UNKNOWN,,ALV,,,,,,,,,,YEAR ESTIMATE,2000-11-01,1999-11-01,2000-11-01,,,JM,,DLG  looks big in 2002 photo so probably 1999 birth and probably a survivor.,YEAR ESTIMATE,2002-08-06,UNCERTAIN SURVIVAL STATUS PREWEANING,RARELY SIGHTED,MIDPOINT,,,Uncertainty about age and early sightings of Deluge. Could have been weaned or died.,,,,,,,,NO,DLG big in 2002 photo so likely earlier bday 1999 and likely survivor. RCC had first sighting but no notes on size and no photo.,,"Deluge was younger than CCO calf and older than ALTs calf in 2002 so likely 2000 birth, but could also be a little older"
DLI,DELIGHT,False,,,BLU,,,,,,,,,,YEAR ESTIMATE,2001-11-01,1999-11-01,2001-11-01,GAP,,JM,,BLS calf smaller than mother but never saw in bp. RCC saw in BP in 2003 and JM estimatd 1.5 years from photos.,,,,,,,,Can't assign death or weaning because birthdate unknown.,MONTH ESTIMATE,2005-02-19,,,MIDPOINT,EK,JM,YES,Primary reason is reduced mc association,,
DLO,DREADLOCK,False,,,REG,,,,D,,,,,,MONTH ESTIMATE,2004-11-01,,,SPRING SUMMER YOY,,JM,,YOY,,,STOPPED SIGHTING POST WEANING,,,,,DLO could be around Peron somewhere. Not distinctive. Not a beacher.,,,,,,,,NO,,2006,
DMK,DENMARK,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,1986-11-01,1991-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Based on DF and lateral speckles she might be a little older than repro age estimate.,,,,,,,,,,,,,,,,,,,
DMP,DAMP,False,,,SOG,,,haplotype assigned based on haplotype of mother,A,,,,,,WEEK ESTIMATE,2006-01-15,,,INFANT FIRST SIGHT,,JM,,"CHECCONIS SIGHTED ON 8-APRIL; JM ON 15-APR-06, ESTIMATED 4-5 MOS. NO FETAL LINES- COULD BE A LITTLE YOUNGER THAN HUFF; BALMY DIED END OF NOV 04, SO WOULD TAKE SOGGY 6 WKS TO CONCEIVE AGAIN.",YEAR ESTIMATE,2009-05-01,STOPPED SIGHTING POST WEANING,,DEFAULT DATE,,,Distinctive shape but could have changed.,MONTH ESTIMATE,2009-04-13,,,MIDPOINT,JM,,YES,,2007,
DNG,DANGIT,False,MALE,HIGH,,,,,,,,,,,,1985-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,2007,
DNK,DUNK,False,,,SOG,,,,A,,SOG,,,,WEEK ESTIMATE,2021-12-19,2021-12-03,2022-01-04,INFANT FIRST SIGHT,,VF,,newborn first seen by DIC on 5-Jan-22,WEEK ESTIMATE,2022-02-28,DEAD PREWEANING,,MIDPOINT,CCC,VF,"Simonetta saw Soggy without Dunk 17-Mar-22, then Soggy consorted by Starlet, India, Lips in early April.",,,,,,,,,,,
DNO,DINO,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1975-11-01,1965-11-01,1975-11-01,SSSS,91CAT,EK,JM,Speckles on lateral side in 1996 photos.,YEAR ESTIMATE,2003-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,,Some 2 year gaps in sightings.,,,,,,,,,,2000,
DNR,DEIANIRA,False,UNKNOWN,,ALT,,,,,,,,,,MONTH ESTIMATE,2001-11-01,2001-09-01,2002-01-01,,MOTHER FIRST SIGHT WITH CALF,JM,,,,,STOPPED SIGHTING POST WEANING,,,,,Fin not distinctive so could have changed and is still out there.,MONTH ESTIMATE,2006-03-06,,,MIDPOINT,SAS,,YES,,,yoy
DNZ,DENIZEN,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1993-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,
DOA,DOONA,False,UNKNOWN,,BLK,,,maternal relative,A,,,,,,DAY ESTIMATE,2011-11-22,2011-11-21,2011-11-24,,,EK,,,MONTH ESTIMATE,2012-04-13,DEAD PREWEANING,,MIDPOINT,SAS,,no bp,,,,,,,,DIED PREWEANING,,,looked to be 4-7 days old
DOC,DOC,False,UNKNOWN,,SNW,,,,,,,,,,MONTH ESTIMATE,2018-02-15,2018-01-01,2018-03-01,INFANT FIRST SIGHT,,JM,,No fetal lines. Younger than Judo. Estimated 4 months.,,,,,,,,,,,,,,,,,,,
DOD,DODGER,False,FEMALE,HIGH,DEM,HII,,,H,,,,,,MONTH ESTIMATE,1999-10-15,1999-10-15,1999-12-01,INFANT FIRST SIGHT,,JM,,CALF LARGE-EARLY OCT BIRTH?.,,,,,,,,,DAY ESTIMATE,2003-10-04,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,,2007,
DOM,DOMINICK,False,MALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1979-11-01,1976-11-01,1983-11-01,SSSS,,JM,EK,2013 speckles- I would put him at 30 at least; In 2002 photo- the speckles on the side suggest age 18-20y,,,,,,,,,,,,,,,,,,2004,
DOO,DOODLE,False,,,DID,,,haplotype assigned based on haplotype of mother,H,,,,,,MONTH ESTIMATE,1997-12-15,,,INFANT FIRST SIGHT,,MRH,,4-5 MOS OLD,MONTH ESTIMATE,1998-05-05,,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1998,
DOP,DOPPIO,False,UNKNOWN,,ESP,,,haplotype assigned based on haplotype of mother,E,,,,,,YEAR ESTIMATE,2009-11-01,,,,,EK,JM,"approximately 2 yrs old, definitely not a yoy, give 1-Nov-09 bday",,,,,,,,,MONTH ESTIMATE,2014-03-17,,,MIDPOINT,JM,,YES,,,"approximately 2 yrs old, definitely not a yoy, give 1-Nov-09 bday"
DOR,DOROTHY,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1976-11-01,1968-11-01,1976-11-01,REPRODUCTIVE AGE,91CAT,EK,JM,Cannot tell speckles from photos but could have been older at first sighting.,YEAR ESTIMATE,2000-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,One year gap in her sightings. Distinctive fin.,,,,,,,,,,1998,
DOU,DOUSE,False,FEMALE,HIGH,SOG,,,maternal relative,A,,,,,,DAY ESTIMATE,2017-11-19,2017-11-15,2017-11-23,INFANT FIRST SIGHT,,CBK,,"lumpy, fetal folds, whiskers, echelon mostly and df erect",,,,,,,,,MONTH ESTIMATE,2021-07-12,REDUCED MC ASSOCIATION,,MIDPOINT,VF,,YES,Midpoint between 9Mar21 and 14Nov21,,
DOW,DOWNER,False,,,,,,,,,,,,,,1984-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,1994,
DOY,DORY,False,UNKNOWN,,CLO,,,,E,,,,,,DAY ESTIMATE,2015-05-10,2015-05-03,2015-05-17,INFANT FIRST SIGHT,,EK,,"3-4 weeks, no bp",,,,,,,,,MONTH ESTIMATE,2018-05-01,REDUCED MC ASSOCIATION,SIBLING BIRTH,DEFAULT DATE,JM,,YES,DOY last bp 6Nov17; CLO next sighted with LSD 31May19 and LSD given 1Jan19 birthdate,,
DOZ,DOZER,False,FEMALE,HIGH,,,,haplotype assigned based on haplotype of offspring,E,,,,,,YEAR ESTIMATE,1960-11-01,1958-11-01,1966-11-01,SSSS,,EK,JM,,YEAR ESTIMATE,2006-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,,Very old.,,,,,,,,,,2001,
DPL,DIMPLE,False,UNKNOWN,,GMP,,,,H,HIGH,GUM,,,,MONTH ESTIMATE,2019-01-01,2018-12-01,2019-02-01,INFANT FIRST SIGHT,,JM,VF,"looks like yoy, no fetal lines, distance 2 from mom, mostly bp no ech",,,,,,,,,,,,,,,,,,,
DPS,DIPSTICK,False,UNKNOWN,,PDT,,,,,,,,,,YEAR ESTIMATE,2004-11-01,2003-11-01,2006-11-01,,,JM,,EK estimated 2 years 25-May-07,,,,,,,,,YEAR ESTIMATE,2009-05-17,,,MIDPOINT,SAS,,NO,DPS in bp with PDT 23-Jun-08 and without mom 11-Apr-10.,,JM est 3-4 yrs in 2008 and calf still bp in 2010
DPT,DIPROTODON,False,,,WOM,,,,A,HIGH,WOM,,,,MONTH ESTIMATE,1999-11-01,1999-09-01,2000-02-01,INFANT FIRST SIGHT,,VF,,"WOM seen with calf on 12-Jun-00, but only poor quality photos, see focal follow for notes",MONTH ESTIMATE,2000-12-19,DEAD PREWEANING,,MIDPOINT,VF,,WOM seen 28Jun01 without calf,,,,,,,,,,,
DRC,DRACULA,False,UNKNOWN,,WWF,,,,,,,,,,YEAR ESTIMATE,2009-11-01,,,,,JM,,estimated to be 2-3 years old,,,MOTHER CALF NOT SIGHTED SINCE,,,,,,,,,,,,,,,,estimated to be 2-3 years old
DRE,DREDGE,False,,,,,,,,,,,,,,1985-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,,
DRI,DRIP,False,,,,,,,,,,,,,YEAR ESTIMATE,1977-11-01,1965-11-01,1977-11-01,ASSIGNED 10 YRS,SSSS,EK,JM,Assigned 10 years at first sighting and can see speckles in 2002. Probably a bit older than 25 then.,YEAR ESTIMATE,2008-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Some gaps in record.,,,,,,,,,,2001,
